date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2018-03-29,NYY @ TOR,T6,Boone,T. Austin,Out at 1st,Force Play,Nauert,Danley,Stands,2:02,https://bit.ly/2EeUyBo
2018-03-29,MIN @ BAL,B10,Molitor,C. Davis,Safe at 2nd,Force Play,Foster,West,Confirmed,0:56,https://bit.ly/2GJNy51
2018-03-29,LAA @ OAK,T11,Melvin,M. Maldonado,Safe at 2nd,Force Play,Fairchild,T. Barrett,Confirmed,1:01,https://bit.ly/2Gy7yUA
2018-03-29,COL @ ARI,B6,Lovullo,J. Dyson,Out at 1st,Force Play,Cooper,Cederstrom,Overturned,0:49,https://bit.ly/2H42AjN
2018-03-29,CLE @ SEA,T9,Francona,L. Chisenhall,Ball; No Hit by Pitch,HBP,Holbrook,Holbrook,Overturned,0:39,https://bit.ly/2H3WoIv
2018-03-30,PIT @ DET,T4,Gardenhire,S. Marte,Safe at 1st,Force Play,B. Welke,Everitt,Overturned,0:53,https://bit.ly/2GteylN
2018-03-30,PIT @ DET,B10,Hurdle,N. Castellanos,Safe at home,Tag Play,Randazzo,B. Welke,Overturned,3:37,https://bit.ly/2GvNH8P
2018-03-30,PHI @ ATL,B3,UMPIRE,N/A,Technical Issue,Rules Check,G. Gibson,Layne,Rules Check,1:59,N/A
2018-03-30,CHI @ MIA,B5,Mattingly,D. Dietrich,Out at 1st,Force Play,Guccione,Vanover,Overturned,1:00,https://bit.ly/2Ik3F6r
2018-03-30,HOU @ TEX,B3,Hinch,R. Rua,Safe at 1st,Force Play,Hickox,Meals,Confirmed,1:21,https://bit.ly/2uFFb5L
2018-03-30,BOS @ TB,T9,Cora,E. Nuñez,Out at 1st,Force Play,Fletcher,Nelson,Confirmed,0:31,https://bit.ly/2IpwVZz
2018-03-30,HOU @ TEX,T6,Banister,N. Mazara,Trap; No Catch,Catch/No Catch,Morales,Meals,Stands,1:52,https://bit.ly/2JfPPDu
2018-03-30,HOU @ TEX,T6,UMPIRE,J. Altuve,Safe at 2nd,Force Play,Morales,Meals,Stands,1:41,https://bit.ly/2pZ3Gpt
2018-03-30,HOU @ TEX,T6,UMPIRE,J. Altuve,Runner Scores,Runner Placement,Morales,Meals,Overturned,1:41,https://bit.ly/2pZ3Gpt
2018-03-30,PHI @ ATL,T8,Kapler,R. Hoskins,Out at 1st,Tag Play,Carapazza,Layne,Overturned,1:19,https://bit.ly/2Ef8ons
2018-03-30,PHI @ ATL,B8,Kapler,P. Bourjos,Safe at home,Tag Play,G. Gibson,Layne,Overturned,1:06,https://bit.ly/2ImLFrT
2018-03-30,HOU @ TEX,B8,UMPIRE,S. Choo,In play; Double,Potential HR,Meals,Meals,Confirmed,1:16,https://bit.ly/2InSnhp
2018-03-30,SF @ LAD,T5,Bochy,H. Pence,Out at 1st,Force Play,DiMuro,Wegner,Overturned,0:33,https://bit.ly/2uL8rbk
2018-03-30,CHI @ MIA,T15,Maddon,K. Bryant,Out at 2nd,Force Play,Torres,Vanover,Stands,1:36,https://bit.ly/2uGEskr
2018-03-30,SF @ LAD,T9,Roberts,A. McCutchen,Safe at 1st,Tag Play,DiMuro,Wegner,Overturned,1:06,https://bit.ly/2GJXRpJ
2018-03-30,COL @ ARI,T8,Lovullo,M. Tauchman,Safe at 1st,Force Play,Blaser,Cederstrom,Confirmed,0:53,https://bit.ly/2Eb6STn
2018-03-31,LAA @ OAK,T6,Scioscia,J. Marte,Out at 3rd,Tag Play,Barksdale,T. Barrett,Overturned,1:26,https://bit.ly/2pZ5IpE
2018-03-31,NYY @ TOR,B7,Gibbons,C. Granderson,Out at 2nd,Tag Play,Danley,Danley,Confirmed,0:38,https://bit.ly/2ImH5tM
2018-03-31,LAA @ OAK,T8,Melvin,Z. Cozart,Hit by Pitch,HBP,Fairchild,T. Barrett,Stands,1:13,https://bit.ly/2pZWvg5
2018-03-31,BOS @ TB,T9,Cash,M. Betts,Safe at 2nd,Tag Play,Nelson,Nelson,Overturned,1:10,https://bit.ly/2Gu06Os
2018-03-31,CHI @ MIA,T10,Mattingly,A. Russell,Safe at 3rd,Tag Play,Wendelstedt,Vanover,Stands,0:54,https://bit.ly/2InEG1W
2018-03-31,CHI @ MIA,T10,UMPIRE,V. Caratini,Safe at home,Tag Play,Guccione,Vanover,Stands,1:30,https://bit.ly/2uHHXHp
2018-04-1,CHI @ MIA,B5,Mattingly,B. Anderson,Out at 3rd,Tag Play,Guccione,Vanover,Stands,1:55,https://bit.ly/2Io2TW9
2018-04-1,STL @ NYM,T5,Callaway,J. Martínez,Hit by Pitch,HBP,Bucknor,Culbreth,Confirmed,0:46,https://bit.ly/2EeFXWD
2018-04-1,PIT @ DET (G2),T2,UMPIRE,G. Polanco,Foul Ball,Potential HR,B. Welke,B. Welke,Confirmed,1:27,https://bit.ly/2q4tlwv
2018-04-1,PIT @ DET (G2),T3,UMPIRE,J. Harrison,In play; Double,Potential HR,Libka,B. Welke,Overturned,0:57,https://bit.ly/2uLYV7s
2018-04-2,MIN @ PIT,T7,Molitor,L. Morrison,Ball; No Hit by Pitch,HBP,Conroy,Culbreth,Overturned,1:03,https://bit.ly/2Hc80Jq
2018-04-2,STL @ MIL,T6,Matheny,T. Pham,Out at 2nd,Tag Play,Segal,Kellogg,Stands,2:34,https://bit.ly/2Hcyoml
2018-04-2,KC @ DET,T9,Yost,P. Orlando,Out at 1st,Force Play,Cuzzi,Hallion,Overturned,1:24,https://bit.ly/2q9sTNl
2018-04-2,CWS @ TOR,T3,Gibbons,Y. Sánchez,Hit by Pitch,HBP,Baker,Layne,Stands,1:46,https://bit.ly/2Jpqhns
2018-04-2,CLE @ LAA,B2,Francona,A. Simmons,Safe at 1st,Tag Play,Reynolds,Wegner,Stands,1:43,https://bit.ly/2IxeMJt
2018-04-3,SEA @ SF,B6,Bochy,A. Jackson,Out at 1st,Force Play,Barksdale,T. Barrett,Overturned,1:13,https://bit.ly/2GZZ78f
2018-04-3,SEA @ SF,B8,Bochy,G. Blanco,Foul Ball,Fair/Foul,Little,T. Barrett,Overturned,3:13,https://bit.ly/2GzDFaA
2018-04-3,BOS @ MIA,B7,Mattingly,C. Maybin,Out at 2nd,Tag Play,Hickox,Meals,Overturned,2:17,https://bit.ly/2uTEoOK
2018-04-3,BOS @ MIA,T8,Cora,J. Bradley,Out at home,Tag Play,May,Meals,Confirmed,1:10,https://bit.ly/2GBL5WJ
2018-04-3,STL @ MIL,T8,Counsell,Y. Molina,Safe at 2nd,Tag Play,Hudson,Kellogg,Stands,1:49,https://bit.ly/2q6Qvmm
2018-04-3,CLE @ LAA,B8,UMPIRE,R. Rivera,In Play; Double,Potential HR,DiMuro,Wegner,Overturned,0:37,https://bit.ly/2GYfbYc
2018-04-4,CLE @ LAA,T5,Scioscia,F. Lindor,Safe at 2nd,Tag Play,Wegner,Wegner,Stands,2:14,https://bit.ly/2uUD79M
