date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2016-06-19,WSH @ SD,B8,Green,Jankowski,Out at 1st,Tag Play,Davis,Davis,Stands,1:48,http://atmlb.com/28JC4vI,
2016-06-20,COL @ MIA,T2,UMPIRE,Story,Foul ball; No HBP,Rules Check,Kulpa,Meals,Rules Check,1:42,https://t.co/UGbxqQ1m4v,
2016-06-20,STL @ CHI,T1,Matheny,Diaz,Out at 1st,Force Play,Carlson,Carlson,Overturned,0:44,https://t.co/6yDsirQHay,
2016-06-20,TB @ CLE,B5,Francona,Gomes,Out at 1st,Force Play,Barksdale,T. Barrett,Overturned,1:33,https://t.co/o2OsbtaUlk,
2016-06-20,SF @ PIT,B7,Hurdle,Polanco,Out at 2nd,Tag Play,Reynolds,Culbreth,Stands,1:45,https://t.co/sl0xNN6cSd,
2016-06-20,LAA @ HOU,T3,Hinch,Trout,Hit by Pitch,HBP,De Jesus,Cederstrom,Overturned,4:06,https://t.co/rq7nwH8s5V,
2016-06-20,COL @ MIA,T7,Weiss,Blackmon,Out at 1st,Force Play,Conroy,Meals,Overturned,0:54,https://t.co/Z0foVytlU3,
2016-06-20,SEA @ DET,T6,Ausmus,Aoki,Safe at 1st,Force Play,Ripperger,West,Overturned,1:21,https://t.co/pIzlRu2wTc,
2016-06-20,CWS @ BOS,T9,Farrell,Me. Cabrera,Safe at 1st,Force Play,G. Gibson,DeMuth,Confirmed,0:43,https://t.co/7G2IHrpIfr,
2016-06-20,LAA @ HOU,B7,UMPIRE,J. Castro,Home Run,Potential HR,Cooper,Cederstrom,Stands,1:33,https://t.co/hWwz8i932T,
2016-06-20,STL @ CHI,T9,Matheny,Diaz,Out at home,Tag Play,Hoberg,Carlson,Confirmed,1:03,https://t.co/tq4EkU4auE,
2016-06-20,WSH @ LAD,B3,UMPIRE,Grandal,Foul ball,Potential HR,Lentz,Nelson,Confirmed,0:53,https://t.co/BEvOOfG3Fx,
2016-06-21,COL @ NYY,T1,Weiss,Arenado,Out at 1st,Force Play,Diaz,Hudson,Overturned,1:49,https://t.co/mz44APwJzD,
2016-06-21,ARI @ TOR,B1,Hale,E. Carrera,Safe at 1st,Force Play,Everitt,Everitt,Overturned,0:46,https://t.co/qr0nz1to3N,
2016-06-21,SD @ BAL,T1,Green,Schimpf,Ball; No HBP,HBP,Conroy,Meals,Overturned,1:03,https://t.co/iZXijWsmB8,
2016-06-21,LAA @ HOU,T1,Scioscia,Calhoun,Ball; No HBP,HBP,Cederstrom,Cederstrom,Overturned,0:46,https://t.co/zURhHMfRkC,
2016-06-21,TB @ CLE,B4,Cash,Napoli,Safe at home,Tag Play,Barksdale,T. Barrett,Overturned,2:17,https://t.co/4Hg0lkAASg,
2016-06-21,CWS @ BOS,T5,Farrell,Shuck,Safe at 1st,Force Play,Estabrook,DeMuth,Overturned,0:45,https://t.co/QJ0O4iqEdS,
2016-06-21,SF @ PIT,T6,Bochy,Belt,Foul ball,Fair/foul,Bucknor,Culbreth,Overturned,1:33,https://t.co/FKNyEpcZa0,
2016-06-21,SF @ PIT,T7,Hurdle,Gillaspie,Safe at 2nd,Tag Play,Gonzalez,Culbreth,Overturned,1:56,https://t.co/KWR9KsEbLd,
2016-06-21,SF @ PIT,B9,Hurdle,Polanco,Out at 1st,Force Play,Reynolds,Culbreth,Overturned,0:55,https://t.co/HEJjKY34zh,
2016-06-22,KC @ NYM,T3,Yost,Dyson,Out at 3rd,Tag Play,B. Welke,Hirschbeck,Stands,2:09,https://t.co/Un6x8kiNwv,
2016-06-22,LAA @ HOU,T1,Scioscia,Trout,Out at 1st,Tag Play,Ad. Johnson,Cederstrom,Confirmed,1:26,https://t.co/kwmzOSt5tN,
2016-06-22,LAA @ HOU,B5,Hinch,Springer,Out at 1st,Force Play,Ad. Johnson,Cederstrom,Confirmed,1:59,https://t.co/8yKbQb6PCw,
2016-06-22,MIL @ OAK,T5,Melvin,Y. Rivera,Safe at 1st,Tag Play,Tumpane,Kellogg,Stands,0:40,https://t.co/AZ2Ql7UKk1,
2016-06-22,LAA @ HOU,T9,UMPIRE,Y. Escobar,Out at 2nd,Tag Play,De Jesus,Cederstrom,Confirmed,0:40,http://atmlb.com/28RBKbI,
2016-06-22,ARI @ TOR,T9,Gibbons,Segura,Safe at 1st,Force Play,Baker,Everitt,Overturned,2:06,https://t.co/zSpmB7gLEJ,
2016-06-22,SD @ BAL,T5,UMPIRE,M. Upton,Foul ball,Potential HR,Conroy,Meals,Stands,2:28,https://t.co/yCzWGSVmD5,
2016-06-22,SD @ BAL,B5,Showalter,C. Davis,Ball; No HBP,HBP,Meals,Meals,Overturned,0:50,https://t.co/nnpVbWGLhV,
2016-06-22,CWS @ BOS,B8,UMPIRE,Bogaerts,Double; No Interference,Fan Interference,Hickox,DeMuth,Overturned,2:30,http://atmlb.com/28RZFgh,
2016-06-22,CWS @ BOS,B8,UMPIRE,C. Young,Foul ball,Potential HR,G. Gibson,DeMuth,Confirmed,0:34,https://t.co/bVjabznjyA,
2016-06-22,WSH @ LAD,T2,UMPIRE,Espinosa,In play; double,Potential HR,Eddings,Nelson,Confirmed,0:56,https://t.co/xQoXHytDks,
2016-06-22,WSH @ LAD,T7,Roberts,Rendon,Safe at 2nd,Tag Play,Blaser,Nelson,Overturned,0:52,http://atmlb.com/28RZO34,
2016-06-23,CWS @ BOS,T6,Farrell,Me. Cabrera,Safe at 3rd,Tag Play,DeMuth,DeMuth,Confirmed,1:47,https://t.co/bSBx9yng6W,
2016-06-23,CHI @ MIA,B5,Maddon,C. Johnson,Safe at 1st,Tag Play,Reyburn,Hirschbeck,Overturned,1:18,https://t.co/tSKX68Shsw,
2016-06-23,CHI @ MIA,B6,Mattingly,Realmuto,Out at 1st,Force Play,Reyburn,Hirschbeck,Overturned,1:02,https://t.co/OdVMiBZ5vT,
2016-06-23,NYM @ ATL,B7,Snitker,Bonifacio,Out at HP; no violation,Collisions at HP,Baker,Everitt,Confirmed,2:29,https://t.co/M1juSiM5yi,
2016-06-23,NYM @ ATL,B8,UMPIRE,Aybar,Out at 2nd,Tag Play,Blakney,Everitt,Confirmed,1:52,http://atmlb.com/28Sj2Eh,
2016-06-23,ARI @ COL,T7,Weiss,Gosselin,Safe at 2nd,Tag Play,Porter,Kellogg,Overturned,1:17,https://t.co/ayZ1ae5KtN,
2016-06-24,MIN @ NYY,B1,Molitor,Gardner,Safe at 1st,Force Play,Marquez,Vanover,Overturned,1:26,https://t.co/8Fuiwrwscj,
2016-06-24,TB @ BAL,T3,Showalter,Longoria,Hit by Pitch,HBP,Hudson,Hudson,Overturned,3:27,https://t.co/WBpmo5bNg3,
