date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2015-08-23,STL @ SD,B9,Matheny,Spangenberg,Hit By Pitch,Hit By Pitch,Tichenor,T. Welke,Stands,2:45,http://atmlb.com/1LwwHz8
2015-08-23,SF @ PIT,T6,Bochy,Duffy,Out at 1st,Force Play,Basner,Davis,Stands,2:14,http://t.co/lppGrAxMqy
2015-08-23,SF @ PIT,B7,UMPIRE,Kang,Safe at 1st,Force Play,Basner,Davis,Overturned,2:10,http://t.co/SsqmYBKWma
2015-08-24,CLE @ CHI,B3,UMPIRE,D. Ross,Home Run,Potential HR,L. Barrett,Iassogna,Overturned,1:10,http://t.co/0WFLd0KTcX
2015-08-24,BAL @ KC,T1,Showalter,L. Cain,Catch,Catch/no catch,West,West,Overturned,2:38,http://t.co/demD2TkGyi
2015-08-24,HOU @ NYY,T5,Girardi,Conger,Safe at 1st,Force Play,Cooper,Cooper,Overturned,1:39,http://t.co/FpMXLOMpeP
2015-08-24,COL @ ATL,T8,Weiss,Blackmon,Out at home,Tag Play,Vanover,Vanover,Confirmed,1:07,http://t.co/bhMSC3pVLU
2015-08-24,BOS @ CWS,B5,Ventura,Al. Ramirez,Out at 2nd,Tag Play,Miller,Miller,Overturned,2:42,http://atmlb.com/1Kr8qc4
2015-08-24,PIT @ MIA,T8,Hurdle,Mercer,Out at 1st,Force Play,O'Nora,O'Nora,Stands,2:06,http://t.co/MM5vzRYxFS
2015-08-24,DET @ CIN,T9,Price,Mi. Cabrera,Safe at 1st,Force Play,Fletcher,Meals,Overturned,2:31,http://t.co/GLoKrISiim
2015-08-24,OAK @ SEA,B1,Melvin,Cano,Safe at 2nd,Tag Play,Schrieber,Culbreth,Overturned,2:47,http://t.co/caHpWp0m9U
2015-08-24,PIT @ MIA,B9,Jennings,Realmuto,Out at 1st,Force Play,O'Nora,O'Nora,Overturned,1:08,http://atmlb.com/1Kgq5oi
2015-08-24,PIT @ MIA,B9,Jennings,Hechavarria,Out at 1st,Force Play,O'Nora,O'Nora,Confirmed,0:35,http://atmlb.com/1UirIBu
2015-08-25,COL @ ATL,B2,Gonzalez,Peterson,Out at 1st,Force Play,Carapazza,Vanover,Overturned,1:22,http://t.co/GfKms0gMH6
2015-08-25,BOS @ CWS,B2,Lovullo,T. Thompson,Safe at 3rd,Tag Play,Ripperger,Miller,Stands,3:46,http://t.co/8NBZg7mEHQ
2015-08-25,BOS @ CWS,B8,Ventura,Ca. Sanchez,Out at 3rd,Tag Play,Eddings,Miller,Stands,1:36,http://t.co/m3Axd5GpmZ
Wed. Aug. 26,MIN @ TB,B3,Cash,Kiermaier,Out at 3rd,Tag Play,Fletcher,Meals,Stands,2:24,http://t.co/IKC6Onr1O9
Wed. Aug. 26,BOS @ CWS,T1,Lovullo,Holt,Out at 1st,Force Play,May,Miller,Confirmed,1:02,http://t.co/NHop9hOFTm
Wed. Aug. 26,BOS @ CWS,T2,Ventura,Shaw,Safe at 1st,Force Play,May,Miller,Overturned,1:00,http://t.co/FzW4SKtYRT
Wed. Aug. 26,MIN @ TB,B7,Molitor,Jaso,Safe at 2nd,Tag Play,Meals,Meals,Overturned,2:55,http://t.co/qtg1z9yjtu
Wed. Aug. 26,MIL @ CLE,T8,Francona,Lucroy,Safe at 2nd,Tag Play,Everitt,T. Welke,Stands,2:56,http://t.co/NEb6zXIbWY
Wed. Aug. 26,TOR @ TEX,T9,Banister,Donaldson,Safe at 1st,Force Play,Nauert,DeMuth,Overturned,1:28,http://t.co/842wDB1oyF
2015-08-27,TOR @ TEX,B3,Gibbons,DeShields,Safe at 2nd,Tag Play,Estabrook,DeMuth,Overturned,1:41,http://t.co/sadTRWxiu3
2015-08-27,TOR @ TEX,B7,Gibbons,DeShields,Touched 3rd,Touching a Base,Hickox,DeMuth,Confirmed,1:42,http://t.co/EBxsYB6ZuK
2015-08-27,TOR @ TEX,B8,UMPIRE,B. Wilson,Hit By Pitch,Hit By Pitch,Nauert,DeMuth,Overturned,1:28,http://t.co/6JJkaKvIEg
2015-08-27,NYM @ PHI,T8,Mackanin,Granderson,Safe at 2nd,Tag Play,Bellino,Hallion,Stands,2:02,http://t.co/nloUi3QdY2
2015-08-27,STL @ ARI,T2,Hale,G. Garcia,Safe at 2nd,Force Play,Fairchild,G. Gibson,Stands,5:10,http://atmlb.com/1PDIYQd
2015-08-27,STL @ ARI,B2,Matheny,A. Hill,Safe at 1st,Force Play,G. Gibson,G. Gibson,Confirmed,1:27,http://t.co/QWARLwKu2I
2015-08-28,KC @ TB,T1,Yost,Zobrist,Out at 1st,Force Play,O'Nora,O'Nora,Overturned,0:54,http://t.co/FT81AsF2dt
2015-08-28,KC @ TB,B1,Cash,Nava,Out at 2nd,Tag Play,Fagan,O'Nora,Confirmed,1:18,http://t.co/eukFtLbhhJ
2015-08-28,KC @ TB,T3,UMPIRE,K. Morales,Home Run,Potential HR,Fagan,O'Nora,Confirmed,3:44,http://t.co/tMa4AHSkpy
2015-08-28,SEA @ CWS,T7,McClendon,Morrison,Out at 2nd,Force Play,T. Welke,T. Welke,Overturned,2:29,http://t.co/rIXQwRSdvS
2015-08-28,HOU @ MIN,B7,UMPIRE,K. Suzuki,Foul Ball,Potential HR,Miller,Miller,Confirmed,0:35,http://t.co/RVNOXwXV4X
2015-08-29,DET @ TOR,B7,Gibbons,Donaldson,Ground-Rule 2B,Boundary Call,Hudson,Wendelstedt,Confirmed,1:02,http://t.co/sfz3AeWe5i
2015-08-29,HOU @ MIN,T3,Hinch,Gattis,Out at 2nd,Tag Play,Ripperger,Miller,Confirmed,2:58,http://t.co/4UPPlE4wso
2015-08-29,SEA @ CWS,T3,Ventura,Seager,Safe at home,Tag Play,Timmons,T. Welke,Overturned,2:06,http://t.co/Ym3AiTvyCH
2015-08-29,HOU @ MIN,B6,Molitor,Dozier,Out at 2nd,Tag Play,Miller,Miller,Overturned,1:29,http://atmlb.com/1IAeWY2
2015-08-29,SD @ PHI,T8,Murphy,Alonso,Out at 1st,Force Play,Baker,Meals,Overturned,0:51,http://atmlb.com/1hszkF1
2015-08-29,SEA @ CWS,T9,McClendon,Morrison,Out at 1st,Force Play,T. Welke,T. Welke,Overturned,1:36,http://t.co/gizllecvXj
2015-08-30,KC @ TB,T3,Cash,Butera,Safe at 3rd,Tag Play,O'Nora,O'Nora,Confirmed,0:39,http://t.co/MOgXCDkLlA
2015-08-30,BAL @ TEX,T5,Banister,Schoop,Safe at 1st,Force Play,Schrieber,Reynolds,Stands,3:36,http://t.co/U7BYXCmx2m
2015-08-31,NYY @ BOS,B1,Girardi,Bogaerts,Safe at 1st,Force Play,Kulpa,Vanover,Stands,3:19,http://t.co/9qc6TbrenP
2015-08-31,ARI @ COL,B1,Weiss,Blackmon,Out at 2nd,Tag Play,Tichenor,Everitt,Overturned,3:20,http://t.co/9U9o7oO5Wp
2015-08-31,PHI @ NYM,B7,Mackanin,Conforto,Safe at 2nd,Tag Play,Cuzzi,Davis,Overturned,3:02,http://t.co/X0ufBOHtlv
2015-08-31,SEA @ HOU,T5,McClendon,B. Miller,Out at 2nd,Tag Play,T. Barrett,T. Barrett,Overturned,1:34,http://t.co/SkeDUlFVdg
2015-08-31,WSH @ STL,B8,Williams,Bourjos,Safe at 1st,Force Play,Hirschbeck,Hirschbeck,Overturned,1:42,http://t.co/cvNySKpc2A
2015-08-31,ARI @ COL,B8,Hale,Hundley,Safe at 1st,Tag Play,Timmons,Everitt,Overturned,1:56,http://t.co/feXT0c0b86
2015-08-31,ARI @ COL,B9,UMPIRE,Arenado,In play (single),Potential HR,Everitt,Everitt,Confirmed,0:29,http://t.co/jALby1uoR6
2015-08-31,TEX @ SD,B6,Banister,Spangenberg,Safe at home,Tag Play,Holbrook,Carlson,Confirmed,1:40,http://t.co/aBLpeBPTxl
2015-08-31,SF @ LAD,B9,Bochy,Peraza,Safe at 3rd,Tag Play,Wegner,Winters,Stands,1:59,http://t.co/F2hZskIs1K
2015-09-1,ARI @ COL,T1,Hale,Inciarte,Out at 1st,Force Play,Pattillo,Everitt,Overturned,1:42,http://t.co/1RSMk1WzKj
2015-09-1,ARI @ COL,T2,UMPIRE,Saltalamacchia,Foul ball,Potential HR,Segal,Everitt,Overturned,1:54,http://t.co/C39jaold3w
2015-09-1,PHI @ NYM,B2,Mackanin,Wright,Safe at 1st,Tag Play,Cuzzi,Davis,Overturned,0:48,http://t.co/QsULC7LenQ
