date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
"Sun., Apr. 3",STL @ PIT,B1,Matheny,McCutchen,Hit by Pitch,HBP,Layne,Layne,Stands,1:27,https://t.co/WkY4X17aZl,
"Sun., Apr. 3",STL @ PIT,B2,UMPIRE,Mercer,N/A,Rules Check,N/A,Layne,Rules Check,0:45,https://t.co/8p8BFnT6jg,
"Sun., Apr. 3",STL @ PIT,B6,Hurdle,Polanco,Out at 2nd,Tag Play,T. Gibson,Layne,Confirmed,1:35,https://t.co/67INFmidqe,
"Sun., Apr. 3",TOR @ TB,B2,Gibbons,Kiermaier,Safe at 1st,Force Play,Emmel,Everitt,Overturned,1:14,https://t.co/xieHxBCXPA,
"Sun., Apr. 3",NYM @ KC,B5,Collins,Infante,Safe at 3rd,Tag Play,Torres,Davis,Stands,1:52,https://t.co/Wkjk9pjL03,
"Mon., Apr. 4",TOR @ TB,T3,UMPIRE,Thole,Fan Interference/Double,Potential HR,Diaz,Everitt,Overturned,1:28,https://t.co/InvxLgohcs,
"Mon., Apr. 4",TOR @ TB,T4,Cash,Souza,No catch,Catch/no catch,Timmons,Everitt,Overturned,5:00,https://t.co/U9RgsmmMc3,
"Mon., Apr. 4",COL @ ARI,T2,Hale,Reynolds,Safe at 2nd,Force Play,Porter,Kellogg,Overturned,0:57,https://t.co/h7NKcPpDba,
"Mon., Apr. 4",COL @ ARI,B5,Weiss,Owings,Safe at 1st,Force Play,O'Nora,Kellogg,Stands,1:56,https://t.co/YD8lpfp0xc,
"Mon., Apr. 4",CWS @ OAK,T9,Ventura,Lawrie,Out at 2nd,Tag Play,Bellino,Hallion,Confirmed,1:14,https://t.co/N6HTyNvVVY,
"Tues., Apr. 5",HOU @ NYY,T8,Hinch,Correa,Out at 2nd,Tag Play,Hickox,DeMuth,Overturned,1:58,https://t.co/wf1eDNt7Vw,
"Tues., Apr. 5",TOR @ TB,T6,Cash,Saunders,Safe at 1st,Force Play,Diaz,Everitt,Overturned,1:06,https://t.co/L6r75KQTGn,
"Tues., Apr. 5",TOR @ TB,T9,Cash,Bautista,Out at 2nd/No Violation,Slide Rule,Everitt,Everitt,Overturned,1:41,https://t.co/gZO9nEcqxb,
"Tues., Apr. 5",STL @ PIT,B11,Matheny,Polanco,Safe at 2nd,Force Play,Fagan,Layne,Confirmed,1:18,https://t.co/vPJvAbMTWJ,
"Tues., Apr. 5",SEA @ TEX,B8,Banister,Desmond,Out at 1st,Force Play,Hoye,Joyce,Overturned,1:36,https://t.co/qoGWndJXl6,
"Tues., Apr. 5",COL @ ARI,B7,Weiss,Weeks,Safe at 3rd,Tag Play,Kellogg,Kellogg,Stands,2:06,http://atmlb.com/23cRG31,
"Wed., Apr. 6",TOR @ TB,T6,Gibbons,Carrera,Out at 1st,Force Play,Everitt,Everitt,Confirmed,1:26,https://t.co/JSSwyUrJqu,
"Wed., Apr. 6",SF @ MIL,T4,Counsell,Belt,Safe at 2nd,Tag Play,Gorman,Gorman,Overturned,1:58,https://t.co/PZ5EHAXwNA,
"Wed., Apr. 6",DET @ MIA,B8,Ausmus,Stanton,Safe at 2nd,Tag Play,Ripperger,West,Stands,2:58,https://t.co/73PHnP5GJ7,
"Wed., Apr. 6",MIN @ BAL,B4,Molitor,Hardy,Safe at 2nd,Tag Play,Muchlinski,Winters,Stands,1:40,https://t.co/7TKYiQ9uGy,
"Wed., Apr. 6",STL @ PIT,B4,Hurdle,Polanco,Out at 2nd,Tag Play,Layne,Layne,Confirmed,1:53,https://t.co/DS2s6OOoS5,
"Wed., Apr. 6",STL @ PIT,T8,Matheny,Hazelbaker,Out at 1st,Force Play,Fagan,Layne,Overturned,1:39,https://t.co/fQAnVLxBLK,
"Wed., Apr. 6",STL @ PIT,T8,UMPIRE,Wong,Out at 2nd/No Violation,Slide Rule,Layne,Layne,Confirmed,1:39,https://t.co/a2UiAJfkWJ,
"Wed., Apr. 6",LAD @ SD,B6,Roberts,Jay,Safe at 2nd,Force Play,Cederstrom,Cederstrom,Overturned,0:47,https://t.co/Y3vidK6tVP,
"Wed., Apr. 6",LAD @ SD,B6,Green,Spangenberg,Out at home,Tag Play,Wolf,Cederstrom,Stands,3:02,https://t.co/HEU9GPzKE3,
"Wed., Apr. 6",CWS @ OAK,T8,Melvin,Eaton,Safe at 1st,Force Play,Morales,Hallion,Stands,1:47,https://t.co/mU7kbT2VvJ,
"Thurs., Apr. 7",LAD @ SF,T2,Roberts,Barnes,Out at 2nd,Force Play,O'Nora,Kellogg,Overturned,2:58,https://t.co/E0o4mmYLbX,
"Thurs., Apr. 7",MIA @ WSH,B5,Baker,Werth,Out at 1st,Force Play,Little,T. Barrett,Stands,2:15,https://t.co/4zDyTsDZ1w,
"Thurs., Apr. 7",CHI @ ARI,T4,Maddon,Bryant,Out at 2nd,Tag Play,Cooper,Cederstrom,Overturned,2:18,https://t.co/xaQ9eMgavY,
"Fri., Apr. 8",NYY @ DET,B8,Ausmus,An. Romine,Out at 2nd,Force Play,Timmons,Everitt,Overturned,2:30,https://t.co/nD9dUpsKyg,
"Fri., Apr. 8",STL @ ATL,T7,Matheny,Carpenter,Out at 2nd,Tag Play,Wegner,Winters,Stands,1:54,https://t.co/0yoDtitlwJ,
"Fri., Apr. 8",STL @ ATL,T8,UMPIRE,Wong,Out at 1st,Tag Play,Winters,Winters,Confirmed,0:46,http://atmlb.com/1Sud607,
"Fri., Apr. 8",HOU @ MIL,T9,Hinch,Rasmus,Out at 2nd/Violation,Slide Rule,Bellino,Hallion,Confirmed,1:33,https://t.co/RxtDQujm4T,
"Fri., Apr. 8",TEX @ LAA,T5,Scioscia,Andrus,Safe at 2nd,Tag Play,DiMuro,Gorman,Overturned,1:33,https://t.co/YzyeiE90x9,
"Sat., Apr. 9",PIT @ CIN,T7,Hurdle,Jaso,Out at 2nd,Tag Play,Danley,West,Stands,3:16,https://t.co/rPCW52QYrq,
"Sat., Apr. 9",SD @ COL,T3,Weiss,M. Upton,Safe at 2nd,Tag Play,Hoye,Joyce,Overturned,1:01,https://t.co/lNsXkG6Uwq,
"Sat., Apr. 9",OAK @ SEA,B1,Servais,Aoki,Out at 1st,Force Play,Davis,Davis,Overturned,0:55,https://t.co/VMPJIdIOeF,
"Sat., Apr. 9",SD @ COL,T6,Weiss,Spangenberg,Safe at 1st,Force Play,Hudson,Joyce,Overturned,1:01,http://atmlb.com/1oRR6F3,
"Sat., Apr. 9",OAK @ SEA,B3,Melvin,Aoki,Safe at 1st,Force Play,Davis,Davis,Overturned,1:04,https://t.co/w0JXo4pM0u,
"Sat., Apr. 9",TEX @ LAA,T4,Banister,Andrus,Out at home,Collisions at HP,Carlson,Gorman,Confirmed,2:59,https://t.co/Ds5HYu1WUT,
"Sat., Apr. 9",SD @ COL,T6,Weiss,De. Norris,Safe at 1st,Force Play,Hudson,Joyce,Overturned,1:26,https://t.co/569bXeGPD4,
"Sat., Apr. 9",STL @ ATL,T9,Matheny,Fryer,Out at 1st,Force Play,Wegner,Winters,Overturned,0:28,https://t.co/BgWOXPPlCm,
"Sun., Apr. 10",MIA @ WSH,B5,Mattingly,Murphy,Safe at 1st,Force Play,T. Barrett,T. Barrett,Stands,1:43,https://t.co/TWZNl1xFQo,
"Sun., Apr. 10",TB @ BAL,B5,Cash,Machado,Safe at 1st,Tag Play,G. Gibson,DeMuth,Overturned,1:25,https://t.co/nG21AX2zf0,
"Sun., Apr. 10",PHI @ NYM,T8,Collins,Herrera,Safe at 2nd,Tag Play,Nauert,Meals,Confirmed,2:26,https://t.co/v6WBAI7Ho2,
"Sun., Apr. 10",PIT @ CIN,T8,Hurdle,Harrison,Out at home,Collisions at HP,West,West,Confirmed,2:11,https://t.co/VYTpJbF2iz,
"Sun., Apr. 10",LAD @ SF,T1,Roberts,Turner,Out at 1st,Tag Play,Tumpane,Kellogg,Overturned,2:25,http://atmlb.com/1VjL2nd,
"Sun., Apr. 10",CHI @ ARI,T6,Maddon,Russell,Out at 1st,Force Play,Ad. Johnson,Cederstrom,Overturned,2:58,https://t.co/PKGhS9IG6c,
"Mon., Apr. 11",PIT @ DET,B6,Ausmus,Mi. Cabrera,Out at 3rd,Tag Play,Nauert,Meals,Overturned,2:18,https://t.co/N9lWP1B8jl,
"Mon., Apr. 11",SD @ PHI,B6,Mackanin,Herrera,Out at 3rd,Tag Play,Barksdale,T. Barrett,Confirmed,2:03,https://t.co/56LEd6aK9j,
"Mon., Apr. 11",SD @ PHI,T7,Green,Al. Ramirez,Out at 1st,Force Play,Hernandez,T. Barrett,Overturned,2:55,https://t.co/3ipG9gZS93,
"Mon., Apr. 11",BAL @ BOS,B9,Farrell,Ortiz,Out at 1st,Force Play,Bucknor,Culbreth,Confirmed,2:14,https://t.co/HidDRgTAIT,
"Mon., Apr. 11",CWS @ MIN,T8,Ventura,Eaton,Out at 1st,Force Play,Fletcher,West,Overturned,2:50,https://t.co/O8F0Tq86IY,
"Mon., Apr. 11",MIA @ NYM,T1,Mattingly,Yelich,Out at 1st,Force Play,Timmons,Everitt,Overturned,2:12,https://t.co/a0aU7P9MMk,
"Tues., Apr. 12",ARI @ LAD,B5,Hale,Puig,Safe at 2nd,Tag Play,Carlson,Gorman,Stands,4:00,https://t.co/rqQLDJ1p1a,
"Tues., Apr. 12",CLE @ TB,T4,Francona,Napoli,Out at 2nd,Tag Play,Winters,Winters,Confirmed,1:04,https://t.co/41mKF5eeQU,
"Tues., Apr. 12",MIA @ NYM,T4,Mattingly,Ozuna,Out at 1st,Force Play,Everitt,Everitt,Overturned,1:40,https://t.co/mNp4MT9NGO,
"Tues., Apr. 12",BAL @ BOS,T4,UMPIRE,Hardy,HR/No Fan Interference,Potential HR,Reynolds,Culbreth,Confirmed,2:07,https://t.co/SEyZnyybBT,
"Tues., Apr. 12",CLE @ TB,B8,UMPIRE,Kiermaier,Safe at 2nd,Tag Play,Winters,Winters,Stands,1:14,https://t.co/J9fUJ09VJA,
"Tues., Apr. 12",KC @ HOU,T4,Yost,A. Gordon,Out at 2nd,Tag Play,Wolf,Cederstrom,Overturned,2:04,https://t.co/GNaefdY04s,
"Tues., Apr. 12",BAL @ BOS,T8,Showalter,Flaherty,Out at 2nd,Tag Play,Gonzalez,Culbreth,Stands,2:52,https://t.co/1XJOue1HLc,
"Tues., Apr. 12",SD @ PHI,B8,Green,Herrera,Out at 2nd/No Violation,Slide Rule,Little,T. Barrett,Confirmed,2:04,https://t.co/deL4o4TXvM,
"Tues., Apr. 12",BAL @ BOS,B9,Farrell,Pedroia,Out at 1st,Force Play,Reynolds,Culbreth,Confirmed,1:24,https://t.co/xqhrgJIUAT,
"Wed., Apr. 13",TEX @ SEA,T3,Servais,DeShields,Safe at 1st,Force Play,Blaser,Nelson,Stands,3:55,https://t.co/ysFLqLq3Dh,
"Wed., Apr. 13",TEX @ SEA,T6,Banister,Beltre,Out at 1st,Force Play,Blaser,Nelson,Overturned,0:43,https://t.co/urbuwfl6bB,
"Wed., Apr. 13",TEX @ SEA,T9,Banister,Odor,Out at 1st,Force Play,Blaser,Nelson,Confirmed,2:46,https://t.co/q3l7tkz3Zm,
