date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2017-05-2,SF @ LAD,B6,Bochy,A. Barnes,Safe at 3rd,Tag Play,Porter,West,Overturned,1:57,https://t.co/btPyaUT1lO,
2017-05-3,CLE @ DET,B4,Ausmus,Mi. Cabrera,Out at 3rd,Tag Play,Guccione,DeMuth,Stands,2:36,https://t.co/qf0dCuegfE,
2017-05-3,CLE @ DET,B5,Francona,T. Collins,Safe at 2nd,Tag Play,Nauert,DeMuth,Stands,2:41,https://t.co/X0Tb2hsEhQ,
2017-05-3,PHI @ CHI,T3,Maddon,C. Hernandez,Safe at 1st,Tag Play,Bellino,Hudson,Overturned,1:11,https://t.co/y6KjbL2ErP,
2017-05-3,BAL @ BOS,T7,Farrell,M. Trumbo,Safe at 1st,Force Play,Wolf,G. Gibson,Overturned,1:46,https://t.co/R6Q6TToSG5,
2017-05-3,MIA @ TB,T7,Cash,I. Suzuki,Safe at 1st,Tag Play,Scheurwater,Reynolds,Overturned,3:04,https://t.co/FdTn9Ezday,
2017-05-3,TOR @ NYY,B7,Gibbons,D. Gregorius,Safe at 1st,Force Play,Dreckman,Everitt,Confirmed,1:01,https://t.co/8x2ANF1MnY,
2017-05-3,PHI @ CHI,B8,Mackanin,J. Jay,Safe at 1st,Force Play,Bellino,Hudson,Overturned,1:08,https://t.co/1IjfDz8fFK,
2017-05-4,CWS @ KC,T6,Yost,G. Soto,Hit by Pitch,HBP,Miller,Miller,Confirmed,1:26,https://t.co/vBssf214vX,
2017-05-4,PHI @ CHI,B6,Mackanin,M. Szczur,Safe at 1st,Force Play,Hudson,Hudson,Overturned,2:00,https://t.co/RHTdxwbqD8,
2017-05-4,COL @ SD,B3,Black,M. Margot,Safe at 1st,Force Play,Gonzalez,Culbreth,Overturned,0:53,https://t.co/vL9EOK4Rti,
2017-05-4,COL @ SD,B8,Black,L. Sardinas,Safe at 2nd,Tag Play,Culbreth,Culbreth,Stands,0:55,https://t.co/GPrLovfgwX,
2017-05-4,BAL @ BOS,T8,Farrell,H. Kim,Hit by Pitch,HBP,Wolf,G. Gibson,Overturned,1:29,https://t.co/FO0jazL3lL,
2017-05-4,MIA @ TB,T9,Mattingly,D. Dietrich,Out at 1st,Force Play,Reynolds,Reynolds,Confirmed,1:23,https://t.co/dZuLNQZyfm,
2017-05-4,LAA @ SEA,B1,Scioscia,J. Segura,Safe at 2nd,Tag Play,Morales,Cederstrom,Overturned,1:02,https://t.co/OQvIyBSjPm,
2017-05-4,LAA @ SEA,T4,Scioscia,B. Revere,Out at 1st,Force Play,Woodring,Cederstrom,Overturned,1:00,https://t.co/c3XBctk47Y,
2017-05-5,TOR @ TB,B4,UMPIRE,D. Robertson,Home Run,Potential HR,Marquez,Vanover,Stands,1:31,https://t.co/8Rlbiz8hNK,
2017-05-5,CLE @ KC,T3,Yost,R. Perez,Safe at 2nd,Tag Play,Drake,Davis,Overturned,0:55,https://t.co/nXkU07rieN,
2017-05-5,BOS @ MIN,B4,Farrell,E. Escobar,Safe at 1st,Force Play,Gorman,Gorman,Stands,1:33,https://t.co/zAySr81aVA,
2017-05-5,TOR @ TB,B7,Gibbons,C. Dickerson,Safe at 1st,Force Play,Rackley,Vanover,Confirmed,0:50,https://t.co/GHa3hFLeKh,
2017-05-5,TEX @ SEA,T1,Banister,E. Andrus,Foul ball,Fair/Foul,Winters,Winters,Overturned,2:45,https://t.co/hfOzbKBeCW,
2017-05-5,HOU @ LAA,B1,Hinch,C. Maybin,Safe at 2nd,Tag Play,Carlson,Culbreth,Overturned,1:43,https://t.co/50N449ACwC,
2017-05-5,DET @ OAK,B2,Melvin,K. Davis,Out at 2nd,Tag Play,Cederstrom,Cederstrom,Confirmed,1:01,https://t.co/R0hCkfWE1k,
2017-05-5,TEX @ SEA,B1,Banister,J. Segura,Safe at 2nd,Tag Play,May,Winters,Overturned,0:51,https://t.co/AyJxUa8Ti5,
2017-05-5,ARI @ COL,B9,Black,D. Garneau,No HBP; Foul ball,HBP,Cuzzi,Cuzzi,Stands,1:09,https://t.co/rrHi7uSqGa,
2017-05-5,LAD @ SD,B7,Green,J. Blash,Out at 2nd,Tag Play,Estabrook,Hudson,Confirmed,1:19,https://t.co/0ItxjLE4P8,
2017-05-5,TEX @ SEA,B11,Banister,G. Heredia,Safe at 2nd,Tag Play,May,Winters,Overturned,0:46,https://t.co/tqpwsUKEkU,
2017-05-5,TEX @ SEA,B13,Servais,G. Heredia,Out at 1st,Force Play,Winters,Winters,Stands,1:19,https://t.co/DvvNbv22mn,
2017-05-6,TOR @ TB,B8,Gibbons,E. Longoria,Safe at home,Tag Play,Rackley,Vanover,Stands,1:32,https://t.co/xnnurXtvLv,
2017-05-6,ARI @ COL,B2,Lovullo,C. Blackmon,Safe at 1st,Force Play,Wegner,Cuzzi,Overturned,0:56,https://t.co/ffMUx27sHT,
2017-05-6,STL @ ATL,B6,Snitker,E. Inciarte,Out at 2nd,Tag Play,Miller,Miller,Stands,1:30,https://t.co/60dVe0UcQX,
2017-05-7,STL @ ATL,T1,Snitker,K. Wong,Safe at 1st,Force Play,Miller,Miller,Overturned,0:59,https://t.co/k8pCodtttl,
2017-05-7,CWS @ BAL,B1,Showalter,M. Trumbo,Out at 1st,Force Play,Wolcott,Emmel,Overturned,1:19,https://t.co/J9f8OgLjln,
2017-05-7,STL @ ATL,B7,Snitker,J. Peterson,Out at 1st,Force Play,Miller,Miller,Overturned,1:45,https://t.co/cm2Ozuh8NG,
2017-05-7,MIL @ PIT,T7,Counsell,J. Villar,Out at 1st,Force Play,Scheurwater,Reynolds,Confirmed,1:22,https://t.co/lxvgArTVYo,
2017-05-7,DET @ OAK,T2,Melvin,J. Upton,Safe at 2nd,Tag Play,Woodring,Cederstrom,Overturned,2:40,https://t.co/4MYNrictBQ,
2017-05-7,CWS @ BAL,T9,Renteria,L. Garcia,Out at 1st,Force Play,Wolcott,Emmel,Confirmed,1:06,https://t.co/QThUr4ksh1,
2017-05-7,STL @ ATL,B11,Snitker,E. Inciarte,Out at 1st,Force Play,Miller,Miller,Stands,1:05,https://t.co/3Iq2fo7z2T,
2017-05-7,HOU @ LAA,T5,Hinch,J. Marisnick,Out at 2nd,Tag Play,Gonzalez,Culbreth,Overturned,2:36,https://t.co/SalJsxPXDh,
2017-05-7,SF @ CIN,T6,Price,J. Panik,Safe at 1st,Force Play,Torres,DeMuth,Stands,1:19,https://t.co/6CltwozX7E,
2017-05-8,STL @ MIA,B4,Mattingly,D. Dietrich,Out at 2nd,Tag Play,Porter,West,Stands,2:39,https://t.co/2F2nDIwz0B,
2017-05-8,TEX @ SD,T4,Banister,E. Andrus,Out at 1st,Tag Play,Timmons,Kellogg,Overturned,2:40,https://t.co/VUqOmXazwV,
2017-05-9,TEX @ SD,B3,Green,A. Cordoba,Out at 2nd,Tag Play,Blakney,Kellogg,Stands,2:09,https://t.co/BQfkaie3S4,
2017-05-9,SEA @ PHI,T1,Servais,B. Gamel,Out at 2nd,Force Play,Rackley,Vanover,Overturned,1:01,https://t.co/Q2fxopJyU6,
2017-05-9,SEA @ PHI,T1,Mackanin,B. Gamel,No violation,Slide Rule,Rackley,Vanover,Confirmed,0:49,https://t.co/Q2fxopJyU6,
2017-05-9,SF @ NYM,T4,Bochy,H. Pence,Out at 1st,Force Play,Knight,Reynolds,Stands,0:56,https://t.co/c3UkoKhcVb,
2017-05-9,NYY @ CIN,B6,Girardi,M. Lorenzen,Safe at 1st,Force Play,Tumpane,T. Barrett,Overturned,1:17,https://t.co/wt7Y3g6qmy,
2017-05-9,CLE @ TOR,T8,Gibbons,B. Guyer,Hit by Pitch,HBP,Cuzzi,Hallion,Stands,2:07,https://t.co/p9QbRBMXYY,
2017-05-9,STL @ MIA,T9,Matheny,K. Wong,Out at 1st,Force Play,Porter,West,Stands,2:19,http://atmlb.com/2rcLCGB,
2017-05-9,WSH @ BAL,B10,Showalter,J. Rickard,Out at 2nd,Force Play,Blaser,Nelson,Overturned,1:38,https://t.co/l1XnkhV2nE,
