date,game,series-game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2016-10-5,"SF @ NYM, WC,T4,Bochy,Span,Out,Tag Play,Mike Everitt,Winters,Stands,1:37,http://atmlb.com/2ehej3Z
2016-10-6,"TOR @ TEX, G1,T2,Gibbons,Pillar,Out,Force Play,Lance Barksdale,West,Stands,2:03,http://atmlb.com/2eoODyp
2016-10-6,"TOR @ TEX, G1,T3,Banister,Donaldson,Safe,Tag Play,Sam Holbrook,West,Stands,2:03,http://atmlb.com/2e2sZEm
2016-10-6,"BOS @ CLE, G1,T1,Francona,Holt,Safe,Tag Play,Brian Knight,Miller,Overturned,0:48,http://atmlb.com/2en3fgB
2016-10-6,"BOS @ CLE, G1,B2,Farrell,Chisenhall,Safe,Tag Play,Tony Randazzo,Miller,Overturned,1:41,http://atmlb.com/2eoPVcQ
2016-10-6,"BOS @ CLE, G1,T8,Francona,Ortiz,Safe,Tag Play,Tony Randazzo,Miller,Stands,1:35,http://atmlb.com/2ee63hv
2016-10-7,"TOR @ TEX, G2,B7,Banister,Desmond,Out,Tag Play,Lance Barksdale,West,Stands,1:52,http://atmlb.com/2e2rs16
2016-10-7,"BOS @ CLE, G2,B5,Farrell,J. Ramirez,Safe,Tag Play,Paul Emmel,Miller,Overturned,1:13,http://atmlb.com/2ee7JYz
2016-10-8,"SF @ CHI, G2,B6,Bochy,Baez,Safe,Tag Play,Marvin Hudson,Hirschbeck,Overturned,1:20,http://atmlb.com/2eoP5Nb
2016-10-9,"TEX @ TOR, G3,B10,Banister,Encarnacion,No Violation,Slide Rule,Joe West,West,Confirmed,0:53,http://atmlb.com/2ee5ap9
2016-10-9,"TEX @ TOR, G3,B10,Banister,Donaldson,Touch,Touching a Base,Sam Holbrook,West,Confirmed,0:53,http://atmlb.com/2ee5ap9
2016-10-10,"WSH @ LAD, G3,B2,Roberts,Pederson,No Hit by Pitch,Hit by Pitch,Ron Kulpa,Kellogg,Stands,1:48,http://atmlb.com/2ehdUyr
2016-10-10,"CHI @ SF, G3,B6,Bochy,Gillaspie,Out,Force Play,Marvin Hudson,Hirschbeck,Stands,2:23,http://atmlb.com/2dvV7Nl
2016-10-10,"CHI @ SF, G3,T12,Bochy,Span,No Catch,Catch/no catch,John Hirschbeck,Hirschbeck,Overturned,1:01,http://atmlb.com/2dJIz2m
2016-10-10,"CHI @ SF, G3,T13,Maddon,D. Ross,Out,Force Play,Marvin Hudson,Hirschbeck,Stands,2:35,http://atmlb.com/2e0nsMe
2016-10-11,"CHI @ SF, G4,B3,Bochy,Span,Out,Force Play,John Hirschbeck,Hirschbeck,Overturned,1:09,http://atmlb.com/2e0iBL3
2016-10-11,"CHI @ SF, G4,B5,UMPIRE,B. Crawford,No Home Run,Potential HR,Larry Vanover,Hirschbeck,Confirmed,0:52,http://atmlb.com/2e2pRbV
2016-10-15,"LAD @ CHI, G1,B3,Maddon,A. Russell,Out,Force Play,Eric Cooper,Cederstrom,Overturned,0:44,http://atmlb.com/2e0kWpa
2016-10-17,"CLE @ TOR, G3,B7,Francona,Pillar,Safe at 2nd,Tag Play,Everitt,Gorman,Stands,1:21,https://t.co/JKH42abh1M
2016-10-17,"CLE @ TOR, G3,T8,Gibbons,Lindor,Safe at 2nd,Tag Play,Everitt,Gorman,Overturned,1:47,http://atmlb.com/2fln7lu
