date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2014-06-25,MIA @ PHI,B2,Redmond,M. Byrd,Safe at 2nd,Force play,Randazzo,Gorman,Confirmed,0:34,http://t.co/aGkf0WWIZo
2014-06-25,CIN @ CHI,T4,Renteria,Mesoraco,Safe at 1st,Tag play,H. Gibson,Scott,Overturned,2:17,http://t.co/hKWBjdtCyC
2014-06-25,CWS @ BAL,T7,Showalter,Flowers,Safe at 2nd,Tag play,Foster,Emmel,Overturned,1:14,http://t.co/8IeRv9R3Yl
2014-06-25,CIN @ CHI,B9,UMPIRE,Ruggiano,In play,Potential HR,Scott,Scott,Confirmed,1:15,http://t.co/L4OU2Ajng0
2014-06-25,CLE @ ARI,B3,Francona,Inciarte,Safe at 3rd,Tag play,Everitt,Miller,Overturned,0:45,http://t.co/1ZXmNazIRA
2014-06-25,LAD @ KC,B9,Yost,Ciriaco,Out at 2nd,Tag play,Estabrook,Wendelstedt,Overturned,1:17,http://t.co/OijRuooveb
2014-06-26,CWS @ TOR,B2,UMPIRE,Reyes,In play (triple),Potential HR,Gonzalez,Culbreth,Confirmed,2:06,http://t.co/c9jNfygFOe
2014-06-26,WSH @ CHI,T2,UMPIRE,Zimmerman,7.13/Out at home,7.13,DiMuro,Layne,Confirmed,0:50,http://t.co/1kTE3qyLWP
2014-06-26,CWS @ TOR,B8,Gibbons,Tolleson,Out at 1B,Force play,Gonzalez,Culbreth,Stands,3:33,http://t.co/4ioMlXhdTx
2014-06-26,COL @ MIL,B6,Weiss,Overbay,Safe at 1B,Force play,Scott,Scott,Stands,2:42,http://t.co/kyCeJPGo7x
2014-06-26,STL @ LAD,T7,UMPIRE,Craig,7.13/Out at home,7.13,Carapazza,Miller,Confirmed,1:16,http://t.co/oXvGq6H3gZ
2014-06-26,STL @ LAD,T9,Matheny,Bourjos,Out at 2nd,Tag play,Everitt,Miller,Confirmed,1:34,http://t.co/6YqiiL9xxv
2014-06-27,TB @ BAL,T7,Showalter,Zobrist,Safe at 1st,Force play,Morales,Gorman,Overturned,0:41,http://t.co/Cfh9k6Nj7j
2014-06-27,WSH @ CHI,B5,Williams,Coghlan,Safe at 1st,Force play,Layne,Layne,Overturned,1:31,http://t.co/YdmrIBi5gW
2014-06-27,LAA @ KC,T3,Yost,Trout,Safe at 1st,Force play,T. Welke,T. Welke,Overturned,0:55,http://t.co/Yx3JNov553
2014-06-27,TB @ BAL,T6,Maddon,Kiermaier,Out at 1st,Force play,Wolf,Gorman,Overturned,1:40,http://t.co/yZ00qpZfTT
2014-06-27,TB @ BAL,B6,Showalter,Machado,Out at 1st,Tag play,Wolf,Gorman,Stands,1:52,http://t.co/Tb2mG5wMpr
2014-06-27,OAK @ MIA,T9,UMPIRE,Crisp,7.13/Out at home,Tag play,Foster,West,Overturned,3:27,http://t.co/iqDltnEpaf
2014-06-27,NYM @ PIT,B10,Collins,J. Harrison,Safe at 2nd,Tag play,Barry,Nelson,Stands,3:14,http://t.co/6dK7tHSnao
2014-06-27,COL @ MIL,B8,Weiss,C. Gomez,Safe at 2nd,Tag play,Bucknor,Scott,Overturned,1:44,http://t.co/4Q4XU1YujQ
2014-06-27,CIN @ SF,T6,Bochy,Cozart,Safe at 1st,Force play,Bellino,Kellogg,Stands,3:34,http://t.co/YEqJUA4Gsh
2014-06-27,CIN @ SF,T7,UMPIRE,Pence,No catch (trap),Catch/no catch,Bellino,Kellogg,Confirmed,1:11,http://t.co/A0VrYe6WXn
2014-06-28,WSH @ CHI,B6,Williams,Rizzo,Safe at 1st,Force play,Woodring,Layne,Overturned,1:12,http://t.co/2TOPYvk5H7
2014-06-28,COL @ MIL,T3,Roenicke,Rutledge,Safe at 1st,Tag play,Bucknor,Scott,Overturned,1:48,http://t.co/EkhN6yaiSH
2014-06-28,COL @ MIL,T8,Weiss,Tulowitzki,Out at 2nd,Tag play,H. Gibson,Scott,Stands,2:18,http://t.co/EH9zTCBUpa
2014-06-28,OAK @ MIA,T9,Redmond,Cespedes,Safe at 2nd,Tag play,West,West,Overturned,3:46,http://t.co/9pBACALOkD
2014-06-28,STL @ LAD,B2,UMPIRE,D. Gordon,7.13/Out at home,7.13,Everitt,Miller,Confirmed,1:16,http://t.co/Wlvb4RewFO
2014-06-28,BOS @ NYY,B5,Farrell,Solarte,Safe at 1st,Force play,Fletcher,Winters,Overturned,0:57,http://t.co/6d9hsAWyDJ
2014-06-28,BOS @ NYY,T6,Girardi,Pedroia,Safe at 2nd,Tag play,Segal,Winters,Overturned,0:30,http://t.co/xTHMq7sROC
2014-06-28,CIN @ SF,T6,Bochy,Bruce,Safe at 1st,Force play,Reyburn,Kellogg,Overturned,1:49,http://t.co/iLsAtCsi7g
2014-06-28,ARI @ SD,T6,Gibson,Prado,Out at 1st,Force play,Wolcott,Davis,Stands,2:47,http://t.co/3SVw9xa4zI
2014-06-28,CIN @ SF,B8,Bochy,G. Blanco,Out at 2nd,Tag play,Hoberg,Kellogg,Stands,2:38,http://t.co/2NzZnyAIk9
2014-06-29,LAA @ KC,T3,Yost,Trout,Safe at 2nd,Force play,Timmons,T. Welke,Overturned,1:12,http://t.co/jgk8vyL0KC
2014-06-29,LAA @ KC,T5,Yost,Calhoun,Safe at 1st,Force play,Fagan,T. Welke,Overturned,1:08,http://t.co/fEBUH0Wyir
2014-06-29,TB @ BAL,B6,Maddon,Hardy,Safe at 1st,Force play,Randazzo,Randazzo,Overturned,0:42,http://t.co/YQSclNFiJ6
2014-06-29,ARI @ SD,B6,Black,Grandal,Out at 1st,Force play,Carlson,Davis,Stands,2:09,http://atmlb.com/1lsJEY0
2014-06-29,ARI @ SD,B6,Gibson,Maybin,Safe at 1st,Force play,Carlson,Davis,Overturned,1:12,http://atmlb.com/Txru0m
2014-06-29,CIN @ SF,T9,Bochy,Cozart,Safe at 2nd,Tag play,Kellogg,Kellogg,Overturned,1:52,http://t.co/jK0Ut8Cf5T
2014-06-30,TEX @ BAL,T3,Washington,Chirinos,Out at 2nd,Tag play,Basner,Nelson,Overturned,1:41,http://t.co/0GkQ5YHmmG
2014-06-30,NYM @ ATL,B3,Collins,B.J. Upton,Safe at 2nd,Tag play,Iassogna,Scott,Overturned,0:35,http://t.co/PLzeRe0M30
2014-06-30,SEA @ HOU,T4,Porter,Ackley,Fair Ball,Fair/foul,Tichenor,T. Welke,Overturned,2:01,http://t.co/yoLvq0fsxt
2014-06-30,CLE @ LAD,T3,Francona,Bourn,Out at 1st,Force play,Ad. Johnson,Vanover,Overturned,0:51,http://t.co/o1uKTnDIu4
2014-06-30,CIN @ SD,B8,Price,E. Cabrera,Retouched 2nd,Touching base,Everitt,Miller,Stands,2:46,http://t.co/6U22M2qen8
2014-07-1,TEX @ BAL,B1,UMPIRE,Pearce,Home Run,Potential HR,Nelson,Nelson,Confirmed,0:46,http://t.co/kM1vL2PJ7w
2014-07-1,PHI @ MIA,T9,Sandberg,C. Hernandez,Out at 1st,Force play,Cooper,Hallion,Confirmed,1:21,http://t.co/RFHKTzmmMv
2014-07-1,SEA @ HOU,T6,UMPIRE,Ackley,7.13/Out at home,7.13,Timmons,T. Welke,Confirmed,2:31,http://t.co/vcamAVrxnO
2014-07-1,CHI @ BOS,B9,Farrell,Pedroia,Out at 1st,Force play,Meals,Meals,Confirmed,1:06,http://t.co/5vRsybxnDf
2014-07-1,CLE @ LAD,B4,Francona,Puig,Safe at 2nd,Tag play,Nauert,Vanover,Overturned,1:56,http://t.co/kQXMgX5cho
2014-07-1,CLE @ LAD,B4,Mattingly,D. Gordon,Out at home,Tag play,Vanover,Vanover,Stands,1:36,http://t.co/swxnCqux4k
2014-07-1,CIN @ SD,T9,Black,Frazier,Safe at 2nd,Force play,Fairchild,Miller,Overturned,1:54,http://t.co/vzlxWJp4Xa
2014-07-2,MIL @ TOR,B4,Gibbons,Kawasaki,Out at 1st,Tag play,Cuzzi,G. Gibson,Stands,2:27,http://t.co/aPJFRLmvks
2014-07-2,TB @ NYY,T4,Maddon,S. Rodriguez,Out at 2nd,Tag play,Little,T. Barrett,Confirmed,1:48,http://t.co/Kbbl2yIcin
2014-07-2,KC @ MIN,B5,Gardenhire,Fuld,Out at 2nd,Tag play,Blaser,Kellogg,Overturned,2:03,http://t.co/ZvHvKGLKvJ
2014-07-2,MIL @ TOR,B8,Roenicke,Tolleson,Safe at 2nd,Tag play,Wolcott,G. Gibson,Overturned,0:55,http://t.co/IPqaBpXsVX
2014-07-2,TB @ NYY,T9,UMPIRE,Jennings,Out at 2nd,Force play,Little,T. Barrett,Stands,1:16,http://t.co/nmZP1hKmhL
2014-07-2,CIN @ SD,B4,Black,Falu,Missed 3B,Touching base,Miller,Everitt,Stands,2:00,http://t.co/BOsD3H7s0Y
2014-07-2,COL @ WSH,B2,Williams,Zimmerman,Out at 2nd,Tag play,West,West,Stands,2:54,http://t.co/VQwjxbwk24
2014-07-2,COL @ WSH,B7,UMPIRE,Desmond,In play (triple),Potential HR,West,West,Overturned,3:51,http://t.co/PLfQzRbAeU
2014-07-2,TEX @ BAL,T5,Washington,Rios,Out at 1st,Force play,Barry,Nelson,Overturned,1:29,http://t.co/XIe0JQEYq0
2014-07-2,STL @ SF,B9,Bochy,Pence,Out at 1st,Force play,Kulpa,DeMuth,Overturned,0:57,http://t.co/5vS3CSt8JO
2014-07-3,STL @ SF,B5,Matheny,Pence,Safe at 1st,Force play,DeMuth,DeMuth,Stands,2:36,http://t.co/BdqEa5IzMw
2014-07-3,ARI @ PIT,B5,Gibson,G. Polanco,Safe at 2nd,Tag play,Eddings,Joyce,Overturned,4:23,http://t.co/YYbQpJaO0q
2014-07-3,TOR @ OAK,T2,Gibbons,Kawasaki,No tag/Out at home,Tag play,Carapazza,Miller,Overturned,4:32,http://t.co/0Lom6xIwXr
2014-07-4,NYY @ MIN,B9,Gardenhire,Ze. Wheeler,Catch (Foul Terr.),Boundary call,Porter,West,Overturned,0:41,http://atmlb.com/1xGEdgx
2014-07-4,TOR @ OAK,T8,Gibbons,Encarnacion,Out at 1st,Force play,Miller,Miller,Confirmed,0:36,http://t.co/dwiKmkJZ9z
2014-07-4,MIA @ STL,B6,UMPIRE,M. Carpenter,In play (double),Potential HR,Timmons,T. Welke,Confirmed,0:53,http://t.co/dmtTylcLle
2014-07-4,HOU @ LAA,B3,UMPIRE,Freese,7.13/Out at home,7.13,Hernandez,Vanover,Confirmed,3:05,http://t.co/zIPxK3l4A1
